comps,coverage,Seq
4715033,10.23302752,bowtie
4715041,4.724770642,bowtie
4715043,10.68990826,bowtie
4715045,7.759191176,bowtie
4715063,50.05321101,bowtie
4715071,8.327205882,bowtie
4715091,6.11299435,bowtie
4715095,4.981684982,bowtie
4715109,6.062271062,bowtie
4715119,3.858974359,bowtie
4715121,9.957875458,bowtie
4715129,8.428838951,bowtie
4715137,7.423076923,bowtie
4715151,5.787545788,bowtie
4715155,6.086080586,bowtie
4715159,5.966101695,bowtie
4715179,7.470695971,bowtie
4715181,7.428571429,bowtie
4715185,10.08058608,bowtie
4715201,8.463369963,bowtie
4715203,65.84916201,bowtie
4715205,16.08623853,bowtie
4715215,21.13259669,bowtie
4715233,4.584249084,bowtie
4715245,7.378427788,bowtie
4715259,16.08592322,bowtie
4715261,3.590493601,bowtie
4715269,19.38095238,bowtie
4715277,35.62888483,bowtie
4715281,23.21755027,bowtie
4715287,7.76416819,bowtie
4715299,5.098720293,bowtie
4715317,12.76325758,bowtie
4715321,9.641681901,bowtie
4715323,3.725776965,bowtie
4715325,12.8099631,bowtie
4715335,178.0767824,bowtie
4715343,8.422303473,bowtie
4715349,37.42778793,bowtie
4715355,6.632541133,bowtie
4715357,60.19012797,bowtie
4715369,8.711151737,bowtie
4715395,14.65328467,bowtie
4715399,18.71297989,bowtie
4715407,12.04227941,bowtie
4715413,22.47882136,bowtie
4715415,10.45985401,bowtie
4715423,5.512773723,bowtie
4715437,12.49087591,bowtie
4715441,7.332116788,bowtie
4715451,6.217153285,bowtie
4715473,14.09140768,bowtie
4715479,4.671532847,bowtie
4715493,25.40699816,bowtie
4715505,8.102189781,bowtie
4715513,7.996336996,bowtie
4715519,6.870673953,bowtie
4715521,14.38979964,bowtie
4715535,20.16605166,bowtie
4715545,8.956284153,bowtie
4715547,7.184981685,bowtie
4715549,9.926470588,bowtie
4715553,8.723132969,bowtie
4715555,5.20582878,bowtie
4715557,8.633879781,bowtie
4715569,7.242144177,bowtie
4715615,9.755027422,bowtie
4715617,9.037037037,bowtie
4715639,16.59340659,bowtie
4715651,4.803278689,bowtie
4715653,5.86389414,bowtie
4715673,18.40801457,bowtie
4715675,9.204007286,bowtie
4715689,4.513661202,bowtie
4715691,16.47636364,bowtie
4715699,6.904587156,bowtie
4715701,32.83454545,bowtie
4715705,36.7952468,bowtie
4715741,6.369090909,bowtie
4715757,10.0458891,bowtie
4715775,6.589090909,bowtie
4715779,6.565454545,bowtie
4715781,3.416981132,bowtie
4715783,45.32181818,bowtie
4715785,13.41272727,bowtie
4715787,16.16117216,bowtie
4715793,8.223636364,bowtie
4715811,5.332727273,bowtie
4715815,8.354545455,bowtie
4715821,4.747731397,bowtie
4715829,4.495462795,bowtie
4715835,7.401088929,bowtie
4715839,11.80291971,bowtie
4715851,14.19419238,bowtie
4715855,6.540834846,bowtie
4715865,5.065454545,bowtie
4715867,39.17059891,bowtie
4715871,34.08348457,bowtie
4715897,81.97096189,bowtie
4715899,16.43040293,bowtie
4715905,16.36065574,bowtie
4715919,11.20871143,bowtie
4715929,6.577132486,bowtie
4715931,5.169398907,bowtie
4715947,4.195652174,bowtie
4715959,4.121376812,bowtie
4715975,13.29174312,bowtie
4715985,5.170289855,bowtie
4715987,17.52398524,bowtie
4715991,23.26630435,bowtie
4715993,5.668478261,bowtie
4716005,5.852398524,bowtie
4716017,30,bowtie
4716039,6.974452555,bowtie
4716045,5.221415608,bowtie
4716047,58.2323049,bowtie
4716049,6.857404022,bowtie
4716053,6.393115942,bowtie
4716057,5.893115942,bowtie
4716065,15.59528131,bowtie
4716067,5.338768116,bowtie
4716083,8.925724638,bowtie
4716087,3.40942029,bowtie
4716099,15.57065217,bowtie
4716109,6.943738657,bowtie
4716115,11.75587703,bowtie
4716119,3.150090416,bowtie
4716157,4.104882459,bowtie
4716159,5.184448463,bowtie
4716173,40.14647378,bowtie
4716185,24.3960217,bowtie
4716201,8.616636528,bowtie
4716207,32.51175407,bowtie
4716225,12.8119349,bowtie
4716233,5.489090909,bowtie
4716241,3.133815552,bowtie
4716245,12.08318264,bowtie
4716249,42.35869565,bowtie
4716253,4.254681648,bowtie
4716255,5.108499096,bowtie
4716259,13.28388278,bowtie
4716289,8.415162455,bowtie
4716295,7.072202166,bowtie
4716297,5.891304348,bowtie
4716301,8.564981949,bowtie
4716305,17.19746377,bowtie
4716309,5.288808664,bowtie
4716313,19.36909091,bowtie
4716319,5.272232305,bowtie
4716321,6.377256318,bowtie
4716341,4.510830325,bowtie
4716349,4.084745763,bowtie
4716351,5.663585952,bowtie
4716359,72.55956679,bowtie
4716361,6.206148282,bowtie
4716367,10.22101449,bowtie
4716371,8.998194946,bowtie
4716373,16.34358047,bowtie
4716379,7.622743682,bowtie
4716417,7.016245487,bowtie
4716419,8.988990826,bowtie
4716425,12.5559633,bowtie
4716429,11.91449814,bowtie
